,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,E3SM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1950-01-31,,,,,,,,,,,,,,,
1950-02-28,,,,,,,,,,,,,,,
1950-03-31,1.9838426681186565,-1.4152954339342907,-1.4656413291220554,-1.8443986618960002,1.3322517420601039,-1.9630832994584417,1.1986269750940237,1.1259275676283202,-1.1714398548744118,,1.5213335141195674,0.3199543357490554,1.5887427467137198,1.057045946320255,0.4661335135892985
1950-04-30,1.8264670579590265,-1.1923930755310488,-0.932216685288002,-2.0829933848438817,1.3301560021776757,-1.864402416787082,0.8914774553202273,0.9949641797561908,-1.1090226773525333,,1.2662060409336864,0.3164726065017566,1.6403841892665205,1.1327995130832977,0.33602903794890343
1950-05-31,1.3693836077687127,-0.8368982459758224,-0.4824061784364715,-2.2542452912327926,1.22970030395237,-1.6374254667017945,0.502656963164311,0.7813164032790864,-0.8018405206615334,,0.8031633230834644,0.39611919936940776,1.7682683705103988,1.124215635008018,0.17416727454007747
1950-06-30,0.7000954057726133,-0.4015305622915578,-0.12860189154733595,-2.304797382576551,1.0307772846314776,-1.5543534377886739,0.1380311170343829,0.5262137662942985,-0.7566770318401816,,0.33930665883438355,0.41937854483732134,1.9003638689472928,1.1512689625056705,-0.018378043947406636
1950-07-31,0.18613174689765916,-0.09299159261216083,0.1627379998352972,-2.243617753892311,0.727774152519212,-1.4049933387532205,-0.02916846888301248,0.2887789761355325,-0.7416629586473548,,-0.05346819424736085,0.2561733899830981,2.0354941343231934,1.0461561560912056,-0.0568394345157002
1950-08-31,-0.38754102859871625,0.14723226308365522,0.2233461646631804,-2.1368559779517753,0.47599778019804667,-1.2900219447188637,-0.16084697364873493,0.25939848532038806,-0.8789280392629649,,-0.7008936831860817,0.12330334257962883,2.122017679353231,0.9803346425688753,-0.0818824533986402
1950-09-30,-1.013599431337673,0.2910460760835741,0.17203574665706112,-2.0459594181460847,0.3812289824712824,-1.2035246784577287,-0.23802687950476475,0.2919964881217055,-1.0262435016524512,,-1.1312559085971992,0.0006722293190456409,2.1367830700447654,1.0035440979484855,0.017203870099355704
1950-10-31,-1.2855995758728431,0.38759082685274343,0.0751615378988289,-2.012521143631439,0.42454863709729945,-1.2503699566671487,-0.340551250965267,0.3158606277062351,-1.25468286783354,,-1.2753092920852056,-0.15586290671448122,2.0113347808733844,1.1639382786003052,0.043300474896046534
1950-11-30,-1.4359273538886617,0.46484939999980596,0.05737550032457742,-1.8967799345119436,0.3823362821033629,-1.1461105355438805,-0.4238445338368131,0.21894134281679153,-1.216029511427888,,-1.4816942078278625,-0.1510114855569841,1.7833013994166749,1.3496137409683593,0.06823277363321512
1950-12-31,-1.5772327337508907,0.7260296721655145,0.14623009066316275,-1.7156265241092081,0.45408331337567054,-1.0217101587496604,-0.6627704755837248,0.09753225924544208,-1.16178167443058,,-1.805023665538929,-0.1490552948135543,1.342453559967645,1.4656737059834852,-0.06363057841328386
1951-01-31,-1.5634745651081179,1.084121319249139,0.3168122088642253,-1.4569607479500488,0.7176115747091542,-0.7798332788150814,-1.0003033163183246,0.027805186211489585,-1.0254975205299368,,-1.856278163058174,-0.0846495895477636,0.9868668760622784,1.6792222291411618,-0.25301642020035175
1951-02-28,-1.3830635139940433,1.301554361987011,0.4043577389651425,-1.1951484364042797,0.883503388639471,-0.5945656679424172,-1.2718825060310686,-0.1128312125459156,-0.8088146366710439,,-2.041195064968458,0.012653647855933323,0.5100054279192915,1.881982703054012,-0.4349361676414931
1951-03-31,-1.0470415099366126,1.4901128575051446,0.5644465182796138,-0.8370872512327404,0.6830597136928307,-0.2914449841607118,-1.2756693264385048,-0.29563050931498736,-0.3821426858982948,0.4541276034432573,-2.3245852761423964,0.0730701696511253,0.016093910781361992,1.7316826226634525,-0.4933299082130948
1951-04-30,-0.5862943821080797,1.5680655829596173,0.6844193513884205,-0.4762372692281137,0.6134323273004854,-0.05170077137009879,-1.072721028729156,-0.42641583731037336,-0.17838493375014758,0.36901532646668617,-2.2436679470853833,0.12463056061351171,-0.5060500077554991,1.3143597099543358,-0.5938515873894491
1951-05-31,-0.04740331568861875,1.3372841681213359,0.6558620081969256,-0.17141579121373238,0.490989117365672,0.22005260868565166,-0.7214223984801017,-0.3955805747637793,0.04886853708329109,0.19777091733536248,-2.1262627125623768,0.2250887245443271,-1.0073511493576146,0.9953599218749754,-0.6277364662789868
1951-06-30,0.5290084149483273,0.8457922792309067,0.6338006678650062,0.07288140616892416,0.22173351883589026,0.34186194965465266,-0.2402397416296883,-0.45160544129446356,0.28235020035667185,-0.08102731537303717,-2.115279904315263,0.25416633940515815,-1.5467613482684097,0.5459512124696796,-0.4646564049009381
1951-07-31,1.0330850478424174,0.4152117341803795,0.6317586204087342,0.3748292466222243,0.08787850338976033,0.5238119145417831,0.08527850911451972,-0.48774380341987933,0.38664195062774653,-0.3829805208519105,-1.881484596254949,0.2412812785341688,-1.8093146781425455,-0.001543633880667306,-0.21362083633127604
1951-08-31,1.3041966156061349,-0.031082605558847086,0.5989020837310163,0.6046804529512224,0.12039870024004008,0.7069372782176576,0.21047743148199466,-0.4083029217756721,0.3816028268331491,-0.6203242825168664,-1.6019108403830893,0.3130199229230559,-1.967108790198165,-0.36450098776517753,-0.0677215936351926
1951-09-30,1.4271873849066576,-0.48300155930248895,0.5308336469060123,0.7618235463606081,0.0686514876814696,0.7561578220149445,0.16445214148985762,-0.30419733307505886,0.36800561398912496,-0.834674230914742,-1.4869853250519514,0.3976662266234892,-2.0519129436421957,-0.5231267812925372,0.14665659481954865
1951-10-31,1.4596452801667832,-0.9325196424153199,0.5667418321509662,0.8551523373591534,-0.05374469166698034,0.7947459810322931,0.0995449824479995,-0.27109193841257856,0.4202625742250993,-0.9941725078629368,-1.3760338947269912,0.5123933239644866,-1.9128115959388248,-0.7426199662016832,0.3154997520631122
1951-11-30,1.386156956415136,-1.2751700594442614,0.6348080756851698,0.8637365792536722,-0.15648778659268567,0.6866576359028871,0.009693861329183448,-0.19828601949115607,0.42068711851900203,-1.029378151192426,-1.3541246018376085,0.5308220526145062,-1.6796907300811579,-1.0452101819690416,0.3062398732894299
1951-12-31,1.3331132109280963,-1.7318605285983015,0.6306693323847302,0.7477808879908019,-0.4448150004774471,0.6254054321010222,0.0806754326909419,0.2295466068892515,0.623172248966757,-0.9840819002880739,-1.2378723396713327,0.6473293466268332,-1.5289740266286518,-1.2740091481813047,0.2073141845397106
1952-01-31,1.1116047720295943,-2.016758724375571,0.579005483283157,0.6751053061665885,-0.7492257247856179,0.6546139824769058,0.3168777336573947,0.5221487972622635,0.8326989600360504,-0.9806198797299248,-1.1867623054104492,0.8284776494764916,-1.312092437094711,-1.3743943665938982,-0.03844737125803283
1952-02-29,0.5270171430356041,-1.9011961806977455,0.5634245978763562,0.6226077426454231,-0.8648499747541737,0.7242260371728395,0.4670963230369065,0.7903693905303876,1.107398777526111,-0.9085989186091602,-0.946686967630495,1.1233131959858307,-0.9425998474613677,-1.5903507414569713,-0.34223504855797665
