year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,E3SM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1970,,,,0.10627386003580791,,,0.2638121578310261,,,0.3620533316702065,,,,,
1971,,,,-0.6604357656053509,,,0.6635809462111915,,,0.18308270017670755,,,,,
1972,,,,-0.0175528061049373,,,0.31016031731556937,,,0.5965410140445586,,,,,
1973,,,,-0.2396407912883377,,,-0.6066575060181988,,,0.6130954232891946,,,,,
1974,,,,0.18825834480897086,,,0.781704033169438,,,0.06804370875302668,,,,,
1975,,,,-0.4557978628145909,,,0.12197062764854577,-0.4492523886271899,,0.6235269074296799,,,,,
1976,-0.2932377810155134,0.21622831959458022,0.05006049749349686,-0.367608170488683,0.5972573085130134,0.6507022129039286,-0.05762802267551772,0.40200198070020365,0.376326682978129,1.0611489037779314,1.1441817826093619,0.15208884992743976,-0.032935859255817955,1.2216243751758629,0.7621858064197131
1977,0.7398023349741291,0.15990159888764827,0.5920718749008937,-0.5918395471263398,0.07856158881921407,0.5274418223725887,0.4143026586298189,0.19748523672706786,0.3022962433060898,1.5064634073096252,0.14015697440120717,0.12180238176783484,0.055168645550902826,0.18258530807780649,0.27059146765963493
1978,0.2754700902788121,0.8970254621987337,0.6402847106711317,0.047275011889730566,-0.1136594024741075,0.9863818391423362,0.3244888659894407,0.04333469023583991,0.273798461256622,0.40901204606062846,-0.6150224864230143,-0.052054970850484016,1.1130089200341022,0.5731437853088703,0.9211226397629119
1979,0.36904354475670464,0.5825116630509563,-0.20220553965909585,0.4350752715493374,-0.3174335065867196,0.8091624966434827,0.051085015562330575,0.03832462571861382,0.5008811388830109,1.075360803800288,-0.03477307765439044,0.20135454846142792,-0.3608173236368584,0.23808792228869466,0.16149222523665827
1980,0.711403653693275,0.7779001843087541,-0.19108994045520578,1.3127218198535422,0.17543763634938053,0.8038673792699411,0.021515900842839608,-0.25838198613098395,0.06086236072376474,1.4030108421968783,0.6627774862401025,0.612274676751864,-0.11453811834408412,0.4530107582999242,0.1622225445648565
1981,0.6178435854661364,0.2971192787214407,0.2833274149630066,0.31198068833792564,0.3312243920983553,0.030838583052401912,0.5060450484329453,0.5087592026934152,-0.6796389830963081,0.8405198168960656,0.530087442742313,-0.7336922404084184,-0.5047798133829194,-0.16534802347160243,1.1201899262066184
1982,0.12022877385135787,0.5667322042208525,-0.1401299331302452,0.8237760074097962,0.5135951720826781,0.38139386264927944,0.6053418234659499,0.34863038890666387,0.4030269863013592,0.8181526433586631,-0.0035983649643269076,0.14516672995081203,0.06118500771333317,0.6179451041819868,0.44218179301422444
1983,0.6021130209338852,-0.13128932035628432,0.9447450137684967,0.18340032808337584,-0.40057433910490364,0.7673852748479028,-0.17360389846890778,0.4481763388333617,-0.10976335682898858,0.935237296106444,0.07453107633415051,-0.15647586997102816,0.4165115238223221,-0.08571194019465254,0.13898235551905258
1984,0.19654197045014365,-0.05672795848247148,-0.22144531289311323,-0.20245451775687107,0.3818622024044098,0.7969214752026343,0.09357758933779844,-0.4860337633638184,0.7225045770721924,1.0520826993947632,-0.23066512083905832,0.5797248346695749,0.2498931146797004,0.8076190585836079,0.7860137707792308
1985,0.30801352996303677,0.9085791944644068,0.1031152975519385,0.402351134366297,-0.14857916985773242,0.6243072044920794,0.14275656685434707,0.07207961172957424,0.37815896688158285,1.4201971251733179,0.45375508513935886,-0.4599888251865255,-0.33978125607097825,0.36588020826450596,0.36667047198412095
1986,-0.18691567665193914,0.1780089624698765,-0.5439459632836026,0.5885324117029098,0.12207179132320903,1.0724037876333865,-0.43316726830085805,-0.7904906775432679,1.0156516935133955,1.0396248500857175,-0.29837418979705455,0.14407594180646585,0.5990079763648938,0.6551239655413456,0.9679431436148077
1987,0.03108266740039653,-0.17621061453138695,-0.13350244160649136,-0.41956822178573216,-0.1783128781895362,0.7486100581628262,-0.7219269171796342,-0.12003713394647801,0.5427155799711253,1.085015007119988,0.38174491495518204,-0.21846836263439906,-0.7202599436447695,0.5212966278056297,0.4457611966237165
1988,-0.17396505424608186,0.7439386471413032,-0.5869043697579661,0.058305336122400055,-0.09602063947095871,0.9707140560969572,-0.14395853314260504,-0.3427145478295725,-0.10530789549393732,1.0936835686282258,0.050103199466905966,-0.26009680359283477,0.14032133309020053,-0.28661636872970225,0.5591587550714664
1989,0.1695194556909099,0.5074894336919811,0.5501447648949095,-0.37940515484111376,-0.41604473030338224,0.4707996992120822,0.9189873106004476,-0.20840612520083102,0.14772277335000678,0.7453273170006732,0.028008453104116003,-0.10839455606870779,0.00016345735675914026,0.9065634429669613,-0.03786725040610701
1990,0.46889168475907556,0.6646215953122616,-0.3165035402850491,1.099325420507961,-0.11882193832192921,1.560807762462523,0.25930867145190895,-0.2592888300507202,1.1853706149403804,0.4897805986530588,-0.39136814304103523,0.531676396273538,0.7516345139645544,0.7373435741476985,-0.28026303541181
1991,0.9935696102706827,-0.050646577105074475,0.5165622125049111,0.46392832354833397,-0.5840770034289406,1.0449338196022748,-0.9166180385630134,0.8697461782696885,0.1175417286338723,1.062606263942563,-0.10390381262754773,0.23067914957617838,-0.4772646694644997,0.3586735217305817,0.8235132302593914
