time,spatial_ref,SPI3
1950-03-31,0,0.2971789877147267
1951-03-31,0,-0.13808993839599154
1952-03-31,0,-1.3092765898817602
1953-03-31,0,-0.1813451740766183
1954-03-31,0,-0.47564249310310003
1955-03-31,0,0.05297295636056092
1956-03-31,0,-0.4695635088780817
1957-03-31,0,-1.4990455535338492
1958-03-31,0,0.4160880548142293
1959-03-31,0,-0.40050473781022927
1960-03-31,0,-1.0529470269433676
1961-03-31,0,-0.12337778185769592
1962-03-31,0,-0.8602513703732075
1963-03-31,0,0.5510049379082651
1964-03-31,0,-0.37791412967969745
1965-03-31,0,0.032740598066340006
1966-03-31,0,0.33794260462244546
1967-03-31,0,-0.49946537156296317
1968-03-31,0,-0.32066904754927644
1969-03-31,0,-0.27942133521987905
1970-03-31,0,-0.7407150926675611
1971-03-31,0,-0.17051101344147448
1972-03-31,0,-1.4903515837545838
1973-03-31,0,-0.1785089757583303
1974-03-31,0,0.5630058062474694
1975-03-31,0,-0.20639826608733694
1976-03-31,0,-0.33347753989779744
1977-03-31,0,-0.14484880677621964
1978-03-31,0,-0.5282244928111876
1979-03-31,0,-0.6031586154387486
1980-03-31,0,0.036370349425874186
1981-03-31,0,0.49022912941464936
1982-03-31,0,-0.35004315550297144
1983-03-31,0,-0.4071109834494351
1984-03-31,0,-0.32878613921273975
1985-03-31,0,-0.10134957069827918
1986-03-31,0,-1.2479536046896347
1987-03-31,0,-0.7410595521373091
1988-03-31,0,-0.8540160942606384
1989-03-31,0,-0.03774381799686445
1990-03-31,0,-0.018695445019970086
1991-03-31,0,0.20183956413215848
1992-03-31,0,-1.1892928271301002
1993-03-31,0,-0.43326041897389095
1994-03-31,0,-0.9307225346576279
1995-03-31,0,0.4391060759790784
1996-03-31,0,0.22939540798394445
1997-03-31,0,-1.2125836120964828
1998-03-31,0,-0.18303259614368797
1999-03-31,0,0.19168690529075946
2000-03-31,0,-0.5851450551789427
2001-03-31,0,0.8332213332632644
2002-03-31,0,-0.043789612820428946
2003-03-31,0,-0.07134399899339658
2004-03-31,0,-0.9662100653527165
2005-03-31,0,-0.8872969389541124
2006-03-31,0,-0.5586734063929412
2007-03-31,0,-0.9815028696354191
2008-03-31,0,0.40584654832662564
2009-03-31,0,-0.363361461825203
2010-03-31,0,-0.34179147500297097
2011-03-31,0,0.32845677629622244
2012-03-31,0,-0.28631211744663077
2013-03-31,0,-0.6457514314629824
2014-03-31,0,0.8090863246419359
2015-03-31,0,0.16313453069721467
2016-03-31,0,-0.656409139216505
2017-03-31,0,-0.05784441727369901
2018-03-31,0,-0.44259488248231105
2019-03-31,0,-0.3868642757591532
2020-03-31,0,-0.8075858949559577
