time,spatial_ref,SPI3
1950-03-31,0,-0.023787759004294314
1951-03-31,0,0.09930537368080627
1952-03-31,0,0.5862922771592617
1953-03-31,0,-0.28294308358705694
1954-03-31,0,-0.36785831787423684
1955-03-31,0,0.24987677612404544
1956-03-31,0,0.27576469436672774
1957-03-31,0,-0.16982565003805516
1958-03-31,0,0.22549500061413258
1959-03-31,0,0.14035154684618362
1960-03-31,0,-0.14193567966923193
1961-03-31,0,0.2406335039257334
1962-03-31,0,-0.08057009550525931
1963-03-31,0,0.11233704725189238
1964-03-31,0,0.5960896291421482
1965-03-31,0,-0.12916238360742474
1966-03-31,0,-0.04528912703662238
1967-03-31,0,0.4176516380458923
1968-03-31,0,-0.9114052997943407
1969-03-31,0,0.5778427183234369
1970-03-31,0,-0.3190987897127451
1971-03-31,0,0.5795257470600224
1972-03-31,0,0.20665041300534792
1973-03-31,0,-0.4482602892889716
1974-03-31,0,0.28003497852784937
1975-03-31,0,-0.42772750849455876
1976-03-31,0,-0.14376873826125847
1977-03-31,0,0.5231620928973766
1978-03-31,0,-0.692193190569142
1979-03-31,0,-0.07772596713092693
1980-03-31,0,-0.18500663099393524
1981-03-31,0,-0.14075769652243056
1982-03-31,0,0.005515993274842147
1983-03-31,0,-0.05757387250794727
1984-03-31,0,-0.1513012259589495
1985-03-31,0,0.31972044310885533
1986-03-31,0,-0.23845818383301376
1987-03-31,0,0.016128229470695966
1988-03-31,0,0.05039304975093767
1989-03-31,0,-0.22348465655246558
1990-03-31,0,0.19554476136858243
1991-03-31,0,0.25289060337841995
1992-03-31,0,-0.5435028953134593
1993-03-31,0,-0.1618342245672288
1994-03-31,0,0.1981215515413458
1995-03-31,0,0.30570185384595644
1996-03-31,0,0.22810431156322955
1997-03-31,0,0.029017266211166442
1998-03-31,0,-0.3289755964747943
1999-03-31,0,-0.2817530668085861
2000-03-31,0,0.0350659523228486
2001-03-31,0,0.4802795126640378
2002-03-31,0,0.09223227741206541
2003-03-31,0,0.0864681042444265
2004-03-31,0,0.15330743907649438
2005-03-31,0,0.16243760569855384
2006-03-31,0,-0.3703280230007124
2007-03-31,0,0.20769144938256467
2008-03-31,0,0.620940652384659
2009-03-31,0,0.40377864402207114
2010-03-31,0,-0.15063468665130417
2011-03-31,0,0.47783074281497867
2012-03-31,0,-0.207293381820367
2013-03-31,0,0.1824772782396412
2014-03-31,0,-0.3439777908055505
2015-03-31,0,-0.2450725619691026
2016-03-31,0,-0.5174330793813133
2017-03-31,0,0.1622879899055564
2018-03-31,0,0.056455453398280314
2019-03-31,0,0.2859034046065473
2020-03-31,0,0.30156659650387607
