time,spatial_ref,STI3
1950-03-31,0,0.10677604175423194
1951-03-31,0,-1.6173911439646365
1952-03-31,0,-0.4955278330527843
1953-03-31,0,-0.07120914158216479
1954-03-31,0,-0.663324800266858
1955-03-31,0,-0.17030291911832926
1956-03-31,0,-0.005601242843572534
1957-03-31,0,-0.8925332710694245
1958-03-31,0,-0.7354483508669988
1959-03-31,0,0.4090801728531761
1960-03-31,0,-0.2626393495226329
1961-03-31,0,-0.3589244170620468
1962-03-31,0,-0.7495888405292238
1963-03-31,0,-0.3605014066115344
1964-03-31,0,-1.9137654529619703
1965-03-31,0,-0.7910383286185692
1966-03-31,0,-0.42801782773463554
1967-03-31,0,-0.25262231336126784
1968-03-31,0,-1.7461861458298844
1969-03-31,0,-1.5202441992914413
1970-03-31,0,-0.5814940818487059
1971-03-31,0,-1.555242442017961
1972-03-31,0,0.30387357556996053
1973-03-31,0,-1.0844157338437155
1974-03-31,0,0.23963854627509504
1975-03-31,0,-0.8457741595607308
1976-03-31,0,-0.4269220455007038
1977-03-31,0,-0.015150105859539376
1978-03-31,0,0.4371665735076563
1979-03-31,0,-0.04288180396346551
1980-03-31,0,-0.9880147349278177
1981-03-31,0,-1.430113650802998
1982-03-31,0,-0.8177510133898245
1983-03-31,0,-1.5237335369008516
1984-03-31,0,-1.5249887023940603
1985-03-31,0,-1.4873440675139562
1986-03-31,0,-0.8753351433787429
1987-03-31,0,-0.4178031634804201
1988-03-31,0,-0.4624023570656502
1989-03-31,0,-0.8452327839687497
1990-03-31,0,-0.7224750698049774
1991-03-31,0,-0.4565146146106616
1992-03-31,0,-1.5710297392407562
1993-03-31,0,-1.6993574977692945
1994-03-31,0,-0.025832211956940934
1995-03-31,0,-0.8744724393051071
1996-03-31,0,-0.8242287439255532
1997-03-31,0,-0.17037500421962418
1998-03-31,0,-0.13196035754744737
1999-03-31,0,0.4693769871874521
2000-03-31,0,-1.9426016424810608
2001-03-31,0,-0.8278163455519308
2002-03-31,0,-0.5465950439113054
2003-03-31,0,-0.4130354112296976
2004-03-31,0,-0.766019716926366
2005-03-31,0,-0.08714027964379079
2006-03-31,0,-0.9440295437637465
2007-03-31,0,-0.2604501868892888
2008-03-31,0,-0.5348418361541164
2009-03-31,0,-1.1257638044170644
2010-03-31,0,-1.5350037676171124
2011-03-31,0,-0.5817929265721297
2012-03-31,0,-0.24897398770429902
2013-03-31,0,0.4111751216090354
2014-03-31,0,-1.146297477836046
