,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,E3SM-2-0,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1950-03-01,0.1587474513127126,-0.0237877590042943,-0.7673192876361028,0.1983003362795579,0.1704534318579917,-0.0867767103035873,0.1152756147007739,-0.3890597955054314,,0.2916573622926768,-0.7997320321540571,0.2971789877147267,-0.2125933072741661,-0.2709873471608143
1951-03-01,0.2198319638700619,0.0993053736808062,0.4226230052439161,-0.3842879976905633,0.0033944437870934,-0.7087366134075314,0.0866152594293691,0.4725995673088921,0.1627791842023496,-0.0568587233770507,-0.0740209897360589,-0.1380899383959915,0.4382221346791313,-0.2670753600739465
1952-03-01,0.1680171610276407,0.5862922771592617,-0.1307646032126957,-0.001361714586763,0.6153000785982269,-0.1214855359213247,0.8976652055051756,-0.0617789218744131,0.2116189833057298,-0.1245974344991328,-0.6746585096414082,-1.3092765898817602,-0.5210989819701384,0.4985047913233618
1953-03-01,0.4662003737503517,-0.2829430835870569,0.171519990661582,0.7583775162511988,-0.4304410298455334,0.1804299722370043,-0.0731965187800251,0.959275512728146,-0.4092258452933927,0.3833456783314737,-0.003874642970643,-0.1813451740766183,-0.4157188679215575,-0.0076132920152469
1954-03-01,-0.4943350458076805,-0.3678583178742368,0.6637802400313711,-0.1194255234166387,-0.6740929301129585,-0.3917579032998647,0.4969182460941359,-0.2366307995377851,0.4649901484148578,0.4136653142875489,-0.4431143743348009,-0.4756424931031,0.6236657422226617,-0.0641808242794965
1955-03-01,-0.2478457842503221,0.2498767761240454,-0.2130065505488441,-0.0659023071464133,-0.9665363348543216,0.0445300552722991,0.5589775699606192,0.3619173869362991,0.1710575190717232,0.439688534555938,-0.2907149535340092,0.0529729563605609,0.2082703489618119,-1.077259603687701
1956-03-01,-0.007442989363347,0.2757646943667277,-0.0647127439508006,-0.3256742837588737,-0.1145273753840261,0.1054186506260663,-0.4238680744336879,0.2010690033819091,-0.6010365394989302,0.3427779412138078,-0.4007448793193526,-0.4695635088780817,0.7706374774179323,-0.4991843212522865
1957-03-01,0.1160813130663305,-0.1698256500380551,0.885116645105874,0.1590264937483614,-0.2298752185595367,-0.150181583865517,0.2597521939836781,-0.1259320456245028,-0.4398710545493743,0.3687543822822145,-0.4411398205666424,-1.4990455535338492,-0.0808753790374411,0.5665719419148882
1958-03-01,-0.1388520365317373,0.2254950006141325,-0.3953633161939839,0.0985594278986393,-0.0271932892965635,0.1903831110774348,-0.470569737521582,0.7994416077341483,-0.4278927024151253,0.0585336633360188,-0.6110762720226938,0.4160880548142293,0.4365084680136498,-0.4062784352889676
1959-03-01,-0.0428609531641682,0.1403515468461836,-0.1183024418779013,-0.2720097952335746,0.040608545723943,0.4047805836707811,0.6696962701881279,-0.2377069492949543,-0.6962037643785686,-0.1268540807911165,-0.5068631261550387,-0.4005047378102292,0.5932761059272372,0.2036771052891886
1960-03-01,0.0893499769026765,-0.1419356796692319,0.1186679522205045,0.8723925439516316,-0.7962257165476541,0.9757375565942956,0.4974232807366291,0.9105050514143316,-0.7904334473512242,0.162466710175474,-0.1776659199465708,-1.0529470269433676,0.3495308619005601,-1.7303906677863057
1961-03-01,0.0511682996939143,0.2406335039257334,0.4032359083566103,-0.8685102820305571,0.0962101601791659,-1.0073776997747432,0.366851689388117,-0.2126473811340135,-0.2194407668511486,0.3652200663225101,0.1237767113339276,-0.1233777818576959,0.1250829693403816,-0.3691377875616726
1962-03-01,0.3157469685390192,-0.0805700955052593,0.1675660065308074,-0.5119743739136217,0.0337896106117908,-0.6178640641055325,-0.6761223710095101,0.1740279973245065,-0.4869530267783193,0.0174062393592315,-0.9073436948968407,-0.8602513703732075,-0.1520729725002292,-0.0861266783414361
1963-03-01,-0.0636283389750131,0.1123370472518923,0.1658396750190068,0.0176460330500493,-0.2911679845281339,0.1636198721552531,0.5575692921963765,0.2660007847151886,0.6678990181975154,-0.0897007414674259,0.2034338976325931,0.5510049379082651,0.7254499069439765,0.2328094528337516
1964-03-01,-0.0471262085769013,0.5960896291421482,-0.9078212236986256,-0.0196177837036989,-0.50313110115278,0.1662971332930726,-0.1157774297566778,-0.4780985123312213,-0.6408420303705269,0.0549553234343589,-0.1463146704713971,-0.3779141296796974,0.1723401655715171,0.8700287821334499
1965-03-01,-0.369681110085015,-0.1291623836074247,0.3466573875801235,-0.0034079953110916,-0.1786734799841092,-0.1552614312387559,-0.1066946958679455,0.1352530505896881,0.5667950123870032,0.0479805171838327,0.1622563456242557,0.03274059806634,0.2162512153417467,-0.3739428264377138
1966-03-01,-0.0263462919902763,-0.0452891270366223,0.1007072890558334,-0.6078200793339783,0.2407712353229122,-0.739751705795176,-0.2716453091719925,-0.0972010674794911,-1.118994635133275,0.2343575544454691,-0.605969544687827,0.3379426046224454,-0.1023088921454163,0.2707274147654671
1967-03-01,0.2292414847132669,0.4176516380458923,-0.1605299972420563,-0.6809614670797723,-1.1236010908918437,-0.484152769869593,0.7194788324627884,0.5836403181856177,-0.1643259955406123,0.2872183711927637,0.4233923934023056,-0.4994653715629631,-0.2737590845634567,-0.3306811598739925
1968-03-01,-0.0287930324396867,-0.9114052997943408,-0.4143159245093518,-0.5748870249501719,-0.4720953150682872,-0.2582824431408603,-0.2008087850212402,-0.5662393311015107,0.1567109815595445,-0.3367754124083402,0.238774887174453,-0.3206690475492764,0.2802053009816134,-0.146348737394068
