,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,E3SM-2-0,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1950-03-01,0.283038279150414,0.7403510355131494,-0.5723163641755523,0.1067760417542319,-0.1772814150817272,-1.565334865228808,-0.1463957917379701,0.4738888005945068,,-1.4584238411277324,-0.6894603236064069,-1.4731376843846309,-0.6662690048490224,-1.1715533893076364
1951-03-01,-0.2470214801504075,0.8574457953430662,-1.4366707833915666,-1.6173911439646365,-0.9134311323480644,-1.5477451680780208,1.1962474477170055,-0.8788851301719639,-1.9872041702683745,0.6569430501972194,-1.3496565826018168,-1.1365658013056237,-0.7188601097355334,-0.8546714760170524
1952-03-01,-0.3846441671101624,-0.4750494527457886,-0.8201252512612958,-0.4955278330527843,0.2792287068402417,-1.9008420529222665,0.1039754629787528,-1.1266038892464372,-1.5765520446081902,-0.1529762242710468,-0.8509425618340928,0.2992201615720217,-0.3490828783558305,-0.966174317035448
1953-03-01,-0.0341344988151376,-0.4207473181178529,-0.9815708722558828,-0.0712091415821647,-0.3107244055083124,-2.211159061394112,0.8421556504306443,-1.1586400863616175,-1.9825801708896291,-0.7999147361371557,-1.3726828783186382,-0.949342378096355,-0.8645812399322474,-0.6079007761304961
1954-03-01,-0.7611890954095438,-1.909386237993363,-0.1850565805923699,-0.663324800266858,-1.5660898884864118,-1.769662599403964,-0.7022051568546491,-1.1090649616212804,-0.4431880657055294,-0.0436098848357574,-0.4613763322370134,-0.9736596337022688,0.437251622615582,-1.695549048025946
1955-03-01,-1.263146301957507,-0.9545844135982277,-1.4329564114573463,-0.1703029191183292,-2.546594160732836,-1.592831100503694,-1.0654193832604335,-0.922524068013112,-0.7105671624725654,-1.0487572991442653,-0.7708186331268169,-1.0306516876829297,-1.504923355235008,-1.0598617465695284
1956-03-01,-0.4605948486866936,-1.8240250566219856,-0.862702257052206,-0.0056012428435725,0.3872452723534631,-0.7798173712864973,0.2984201662603951,-1.1962274005379263,-1.4137098658486822,-0.8769016624319367,-0.4916856630250643,0.0459020113080953,-0.7378294000602268,-1.2221806290007786
1957-03-01,-0.6442168123169517,-0.5840119667859579,-0.5499226942268807,-0.8925332710694245,-0.0476990395054255,-0.3417169759820554,0.2182520050624408,-1.3311960041704989,-2.009192755469144,-0.7980521023107405,-0.4886359972890385,-0.2156666605973379,-1.0861665442923063,-0.683723847109792
1958-03-01,-0.3378266514297078,0.2379910139230454,-0.45053325653468,-0.7354483508669988,-0.5943980747261097,-1.11899406097332,-0.5148048109928354,-1.370834677720118,-1.0231132682108874,-0.3689902594328082,-0.4756699335578047,0.7069840082408112,-1.282936776257987,-0.3604865874373418
1959-03-01,0.1340651538790097,-0.4731064048305482,-0.6291805509841958,0.4090801728531761,0.8899652738002385,-1.2517488228194302,-0.5591239374808826,-1.0601173586300323,-0.6056308679208091,-0.0326785892069693,-0.1093396596357188,-0.7498080569963196,-0.0341370443892028,-1.021551102564017
1960-03-01,-0.4698719313098715,-0.4979409804885152,0.5241326103542636,-0.2626393495226329,-0.8814076080127662,-1.1726976194799996,-0.3008724648338465,-0.4342769634975268,-1.2911912779651424,-0.8178473402127204,-1.151303624117512,-0.7428220901435159,-0.861974967616299,-1.1562417470866233
1961-03-01,-0.1349573515374889,-0.8226992590366404,-0.5441913811447863,-0.3589244170620468,0.4766205764836113,-0.9940455052877296,-1.1389449343556473,-1.0370231251246518,-1.292698484672725,-0.8303567678854281,-0.471298229216266,-0.1989153222614278,-0.2518899518429347,-1.9788076437517117
1962-03-01,-0.5980865735854126,-0.4548349383619059,-0.0353774362207537,-0.7495888405292238,-1.2253867309346005,-0.7714718398582981,-0.2995063587956714,-0.9599068195141484,-1.865641910699543,-1.4210409186610156,-0.4921456605332569,0.0012930882862075,-0.3856782971810146,-1.8130731576807928
1963-03-01,-0.0852984080226796,-0.9873467910326882,0.3519610772419579,-0.3605014066115344,-0.4743552358182675,-0.8633348451808758,-0.4479239995860571,-1.1703512025226628,-1.9181499829110311,-0.0284077117127942,-0.189491958489354,0.0158167731559943,-0.2897418413443748,-0.3187483955633279
1964-03-01,-0.5194393787551285,-0.9070152285477978,-0.6054241610239784,-1.9137654529619703,0.6068797396871842,-1.2084411069577534,-0.9038815493627896,-0.567938365164975,-2.5018414374659463,-0.5184298451124368,-0.2959286524904758,-1.0293648877695043,-1.0656622666130622,-1.0329233526017658
1965-03-01,-0.7001662676201552,-1.0637025757539518,-1.0566960764706843,-0.7910383286185692,-0.0175667962546966,-1.3230359300171866,0.0399314765727301,-1.2291192001070397,-1.077592183196537,-0.4155277096251294,-0.7429835190938945,-0.4116636098197215,-0.6279033472090679,-1.0270347176375192
1966-03-01,-1.0144747609337978,-1.1109056803135238,-0.4565572706299681,-0.4280178277346355,-0.3703453882795192,-0.1914942604366016,-0.3429435845624017,-1.4538875589434423,-0.3304500455376438,-1.3334315819425555,-0.4121867940178703,-0.141753978556143,0.1960060702766563,-0.4843363882223705
1967-03-01,-1.3765302525092211,-1.3651429091555776,-0.5802266516750398,-0.2526223133612678,-0.7949400580047605,-1.4258908882847012,0.7340289499017477,-0.7100238298931414,-1.3635558131835677,-0.0858167299021076,0.5371248672024226,-0.5704909182109776,-0.6964033799010841,-0.1183765009377869
