,ERA5,ERA5-Land,JRA55,CFSR,HARv2,TerraClimate
1979-09-01,1.4911158757141578,0.807540349236004,0.7413838943018468,0.8170276710103407,,0.4124327508700285
1979-10-01,0.8858397352569605,0.24394588500764475,0.2245758764770157,0.4978263711406915,,0.22359645123767302
1979-11-01,0.49209237227978503,0.07775791670688871,0.00026610185359041664,0.8910179194614231,,0.16263752287881153
1979-12-01,0.2456248786055043,-0.048250204760807595,0.06763302855895564,0.8738318022526441,,0.2704316712436378
1980-01-01,0.148274995445496,-0.05262539738236761,0.07824179749664868,0.767178558211727,,0.25327829279185526
1980-02-01,0.13371199133404474,0.033071880907998966,0.1013762179110071,0.6681643328740853,,0.3044385335249765
1980-03-01,0.13875890329899393,0.07086348007969483,0.15603326451504404,0.6634653460170106,,0.27362835771108973
1980-04-01,0.025954942251936522,-0.03357891000587218,0.10440658355955633,0.7576676636916112,,0.12296453410275328
1980-05-01,0.010604209027723051,-0.12221949265186792,0.024183170857142833,0.9010242630891768,,0.010928886979713849
1980-06-01,0.13497037322972577,-0.21169404613081289,-0.2721761002663188,0.8962522813206433,,-0.12812114086430193
1980-07-01,0.35371897362187993,-0.19177268158135735,-0.6155645669420517,0.964027840047153,,-0.033343532229617966
1980-08-01,0.8594530796901617,0.21386051071133813,-0.09952893519308509,0.9084496545621871,,0.05487134579040494
1980-09-01,0.6425870495972612,0.5897320000653695,0.4697682223113803,0.7684507437630712,0.6324810006939817,0.07080843152671203
1980-10-01,0.5255059741844246,0.3443374106458884,0.3478703951136632,0.4081903403359643,0.47475697581065723,0.21124134472154782
1980-11-01,0.13457591000867722,-0.06850495231710842,-0.09583162859236635,0.985508989728714,0.111130912130638,-0.022228431660842273
1980-12-01,-0.11538019826374996,-0.3128307333577408,-0.27420055399312937,0.6554430416128497,-0.19193176139299042,-0.21281304905083603
1981-01-01,-0.19745312972523724,-0.4186987469666974,-0.1692592265836555,0.5849644533775501,-0.18097595941166325,-0.23054837314895743
1981-02-01,-0.19800138665744907,-0.38642743164896765,-0.05377582377262851,0.4604807140430028,-0.17988829618891,-0.2629442894807837
1981-03-01,-0.027282911434115754,-0.20271414507497323,0.11206320919906569,0.5389514617294784,0.007578766840368294,-0.16741622565180736
1981-04-01,0.24187950639599537,0.018628226781106358,0.1993697132248898,0.6161968382725858,0.16456906851144312,-0.016589388762662735
1981-05-01,0.33266631029934957,0.08080285700264891,0.15271937755436038,0.7022499394523298,0.2852766220887302,0.09196575518230478
1981-06-01,0.3613506740503519,0.036171361089495,0.14886194854792756,0.6528306008052912,0.22432002956028183,0.1442404461553935
1981-07-01,0.1384479956304626,-0.20701133704438165,-0.47733838450472266,0.6088623365477002,-0.1835410481959748,0.012466382486109517
1981-08-01,-0.1867255397650151,-0.43702553728658705,-0.20845053510066444,0.7272768002147588,-0.36678871158126025,-0.10244809502312092
1981-09-01,0.30645916672209605,0.19580347351385022,0.43278381299451657,0.8014760501491255,0.2822259159016964,0.09542286390522893
1981-10-01,0.021893819780926485,-0.1291330385348584,0.2502989596780977,0.6279935649083817,-0.04698248605573871,-0.3697188150880229
1981-11-01,0.2442664293770289,0.1824348265088251,0.4146281790725857,1.0046552673386444,0.2177247162969852,-0.19330889224648587
1981-12-01,0.2553720203286504,0.19689000439840526,0.5037909670937022,1.0698281770597096,0.17339731924612312,-0.23673897307582606
1982-01-01,0.09711916161686746,-0.009690718437954857,0.49836103853908637,0.8812310431173618,0.0499738868650305,-0.3688440167004479
1982-02-01,0.11623874368187159,0.05043111990548068,0.535997775620262,0.8784272629905118,0.08774102835293965,-0.40774965660589435
1982-03-01,0.1332123846629209,0.04025092499717422,0.47632490931972954,0.6280292604387759,0.116321394184226,-0.4183849899427292
1982-04-01,0.4273095706814107,0.33777646629378216,0.5633953312726132,0.7085761831923141,0.4373041009920464,-0.15735451067423376
1982-05-01,0.5711580734705043,0.3872707088137928,0.4396810352402226,0.6344530599950997,0.4720193900623032,0.043375079983413715
1982-06-01,0.6802522119958465,0.4941578275763483,0.4265090887682768,0.39183468416712913,0.6441262896734289,0.31098879195456025
1982-07-01,0.7295436789678454,0.5315395128256412,0.2756264462123611,0.24850103459865958,0.5075185682531798,0.24754004823348083
1982-08-01,0.5027429723979651,0.383568059541118,-0.013476272989315577,0.2979044785471565,0.4540194109499555,0.3882582091595795
1982-09-01,0.2325683718462855,0.1458499834788461,0.6549489984073638,0.19517734403865664,0.036096192350048566,0.08661874950148751
1982-10-01,0.1517854860061863,-0.05978205597023578,0.32516581211938894,0.11695981015767566,0.008774343983332876,0.09507702771794367
1982-11-01,0.37396093236008393,0.1781699298780376,0.36712757904593835,0.2699083442046023,0.319291651374665,0.35755383638072463
1982-12-01,0.46947995556036504,0.3418650715562237,0.30574054438910075,0.4359772889987042,0.4727524060964055,0.42567994082067256
1983-01-01,0.5864684483084263,0.5526957810486238,0.3961651483889372,0.7548795228108928,0.6117324533563189,0.5633499306686669
1983-02-01,0.6429992256140793,0.6154881669432359,0.36306028416563363,0.9616724903617726,0.5955241686674598,0.5447308268138605
1983-03-01,0.7586787420332799,0.7036949868467124,0.4254685708501867,1.132407147335514,0.7347822752974994,0.6061435742123953
1983-04-01,0.8864607700474818,0.7459001944013526,0.4720222908539688,1.0449276537889984,0.8315110004124997,0.6155422616582108
1983-05-01,1.047888869078743,0.8589449095874806,0.44246617447491676,0.8682915799980013,0.9600633941828003,0.6366211787761819
1983-06-01,1.085140250648477,0.8272919753472103,0.38704707177168646,0.46030312802843926,1.011311837376029,0.608392862281325
