,ERA5,ERA5-Land,JRA55,CFSR,HARv2,TerraClimate
1979-01-01,0.13875890329899393,0.07086348007969483,0.15603326451504404,0.6634653460170106,,0.27362835771108973
1980-01-01,-0.027282911434115754,-0.20271414507497323,0.11206320919906569,0.5389514617294784,0.007578766840368294,-0.16741622565180736
1981-01-01,0.1332123846629209,0.04025092499717422,0.47632490931972954,0.6280292604387759,0.116321394184226,-0.4183849899427292
1982-01-01,0.7586787420332799,0.7036949868467124,0.4254685708501867,1.132407147335514,0.7347822752974994,0.6061435742123953
1983-01-01,-0.3316015173675029,-0.24722846070799706,-0.1382048231197794,1.1242921409084594,-0.3936061070338038,-0.3440561308406668
1984-01-01,-0.3449262356743043,-0.19344739496937263,0.1334473718427296,0.2615175446925937,-0.4607510876136451,-0.6348286933262123
1985-01-01,-0.2316886480991225,-0.14712865818240276,0.5095746173164664,-0.03669198011607777,-0.30843281286283214,0.25158648240838666
1986-01-01,-0.44214013627158527,-0.4753510188637051,0.09149567945312595,0.1842061983636912,-0.532570303366421,0.33072330268967076
1987-01-01,-0.16110912015579656,-0.03808453213795855,-0.00028388746711690085,0.05333962083024221,-0.09886416016410463,0.19976077815777424
1988-01-01,0.05232618229286974,0.3358756179505165,0.119766807937036,-0.2551045025473178,0.029567349679957614,0.035613386995518734
1989-01-01,0.4853097551869432,0.4988761980491385,0.11015021796900216,-0.31163970178725714,0.5095533114610556,0.33585510046079037
1990-01-01,0.2471113915314058,0.11428799981234827,-0.060104571019812245,-0.5740075541457607,0.21193736805109012,0.21794980602539238
1991-01-01,0.4488469387548007,0.5879718694708141,0.2582183454094662,-0.31142145875570215,0.44500659973621914,-0.08938322067962925
1992-01-01,0.04110178001121358,0.2028004602134852,-0.03412160130852778,-0.2260781577008431,0.12503067713309132,0.36608808379377394
1993-01-01,0.17878386667339125,0.40328511834664993,0.22467006957258517,-0.2988823224392775,0.2152333600919425,-0.13289212138388978
1994-01-01,0.3745817749921934,0.4728333680917233,0.2665006192955502,0.4643536722065367,0.3548744535830287,0.1889091231528792
1995-01-01,0.38693039422088743,0.44159398984873255,0.29646759715153626,0.7294622884284024,0.4102145771887065,0.4731173002879091
1996-01-01,-0.14720087275334265,-0.1569872157587336,0.08462377635395521,0.4323337475525446,-0.1046597543533447,-0.04074701187390985
1997-01-01,1.0300073510608034,0.9417984111406817,0.9024457881705543,1.2980813004939642,1.0289599357260686,0.9100353125198177
1998-01-01,-0.2346591598573914,-0.2234653436030992,-0.17282251871584617,0.15725679364356204,-0.29001401256256815,-0.03417104215460538
1999-01-01,0.3277979040748217,0.3751574662845579,0.24990281860445504,-0.3793766179876402,0.3118819305683513,0.2640659301989075
2000-01-01,-0.28306992613842274,-0.44204020440363634,-0.38917590983218614,-0.8200005640534591,-0.3408290881197281,-0.31451383917747033
2001-01-01,0.14112548302943287,0.07241179181348363,-0.08681899498666491,-0.14416319156817503,0.07850047270753466,-0.21466474760769932
2002-01-01,-0.052468613989844155,-0.14498290268757139,-0.13063126439520867,-0.3907093435732401,-0.001750044202409601,0.16133401915795834
2003-01-01,-0.11060665838651813,-0.1958504580176751,-0.3306797708956023,-0.5610924532463196,-0.20721622327064293,-0.3788688271736742
2004-01-01,0.4198017854399956,0.4057941946878385,0.12266628241699466,-0.4484235074319476,0.48453139223936775,0.6049472557342364
2005-01-01,-0.2633874938294936,-0.2821433285923411,-0.6541406127295004,-0.9679523816346769,-0.32347235510543587,-0.13290606319808063
2006-01-01,0.03443540285418614,-0.040142648164881174,0.2938295983016735,0.7669569947528188,-0.00018051392789203207,0.1261604266068856
2007-01-01,0.0894955136321453,0.14503456014904167,0.37197781154822673,-0.23427137248633512,0.04557356472585995,-0.13105360158430582
2008-01-01,-0.36651572487477474,-0.33842612799167715,-0.1581413587177877,-0.20168713087872028,-0.4019707138388442,-0.11369681468607105
2009-01-01,-0.29025272617323195,-0.2390981825007295,-0.4167507015140873,-0.17987487662810306,-0.3641725753346173,-0.157147103709421
2010-01-01,0.037608011932601625,-0.08936766340072087,-0.332267255502567,-0.41002388323242783,0.040287293583928026,0.06541105866299518
2011-01-01,0.29418817940008873,0.17602190107441784,-0.11277938411379657,0.12084219594268672,0.27133007933428527,-0.014793968036500519
2012-01-01,0.11047598786666055,-0.07458007951424796,-0.5642154930101806,-0.38816121513612706,0.04094723020709715,-0.4089990186951147
2013-01-01,-0.08441636074584732,-0.2242929185402722,-0.24725657454318492,-0.17135082443504188,-0.10710565276646518,0.06578938380929683
2014-01-01,0.3189934006744495,-0.035385604735905025,-0.014248736267766618,0.016575250538883018,0.30888056879436004,0.014153139962022018
2015-01-01,-0.4640789728445316,-0.6416453559288227,-0.7071095425864082,-0.1362331655493633,-0.5046228699887196,-0.3459246479080756
2016-01-01,0.04484674921009099,-0.045279652192257255,-0.2751864178556199,-0.13134661939758308,0.07530946064909357,-0.006149120295609775
2017-01-01,-0.7915874653806372,-0.9767211291198664,-0.7291244480556935,-0.9945953676891656,-0.8426194827023572,-0.5219496081750324
2018-01-01,1.1961017052306813,1.1262832705869292,0.3201761581860184,0.026299046475837293,1.2195832729512692,0.5213053280107991
2019-01-01,0.131753197089436,0.4413233427164644,0.4503308062517087,0.3662354912640063,0.13664958902333055,0.0585537826570751
2020-01-01,-1.3368147044565224,-1.2321149448121895,-0.6489649700476845,-0.3596201444801714,-1.4011047083953612,-1.0882497974543113
2021-01-01,-0.48673658830868954,-0.06830067052609586,0.4388235074247928,0.2406370274835539,-0.5185924581485273,-0.380334339660747
