          1870        2023
 1916    -0.43   -0.95   -0.84   -0.95   -0.80   -0.81   -1.52   -1.72   -1.49   -1.56   -1.85   -1.73
 1917    -1.62   -1.60   -0.98   -0.36   -0.15    0.15    0.27    0.31    0.09   -0.07   -0.45   -1.03
 1918    -1.04   -0.95   -0.84   -0.39    0.14    0.80    0.57    0.60    0.72    1.11    1.41    1.40
 1919     1.48    1.02    0.59    0.50    0.65    0.68    0.48    0.59    0.53    0.10   -0.45    0.19
 1920     0.72    0.63    0.50    0.06    0.02    0.21   -0.35   -0.02    0.07   -0.07   -0.15    0.11
 1921     0.28   -0.28   -1.14   -0.65   -0.90   -0.16   -0.25   -0.60   -0.38   -0.02   -0.89   -0.79
 1922    -0.72   -0.08   -0.13   -0.49   -0.13   -0.63   -0.79   -1.19   -0.76   -0.39   -0.79   -0.74
 1923    -0.47   -0.74   -1.06   -0.55   -0.27   -0.04    0.09    0.07    0.55    0.42    0.50    0.72
 1924    -0.03    0.16   -0.04   -0.34   -1.14   -0.90   -1.03   -0.80   -0.94   -0.40   -0.96   -0.82
 1925    -0.92   -0.09   -0.13   -0.23   -0.22    0.34    0.82    0.86    0.83    0.83    0.84    1.51
 1926     1.49    1.08    1.16    1.07    0.82    0.54    0.71    0.09   -0.23   -0.23   -0.28   -0.12
 1927     0.05    0.34   -0.18   -0.33   -0.61   -0.26   -0.45   -0.20   -0.01    0.13   -0.08   -0.04
 1928     0.14    0.03   -0.20   -0.34   -0.28   -0.53   -0.25   -0.39   -0.21   -0.27   -0.42   -0.20
 1929    -0.33   -0.08   -0.12    0.09   -0.02    0.14   -0.13    0.05    0.39    0.26    0.12    0.40
 1930    -0.03   -0.05    0.02    0.30   -0.12    0.23    0.77    0.93    1.32    1.39    1.81    1.56
 1931     1.58    1.19    1.16    0.88    0.35    0.14    0.29   -0.17   -0.50   -0.08   -0.47   -0.39
 1932    -0.24   -0.02    0.33    0.26    0.45    0.43    0.08    0.17   -0.04   -0.08   -0.24   -0.43
 1933    -0.28   -0.05   -0.17   -0.04   -0.51   -0.74   -0.69   -0.86   -0.70   -0.97   -1.02   -1.14
 1934    -0.65   -0.69   -0.67   -0.10   -0.44   -0.18   -0.45   -0.16   -0.14   -0.22   -0.05   -0.44
 1935    -0.52   -0.65   -0.32   -0.12   -0.38   -0.54   -0.81   -0.00    0.18    0.07    0.29    0.03
 1936     0.56    0.37   -0.13    0.14   -0.37   -0.56   -0.31   -0.36    0.00    0.43    0.04    0.45
 1937    -0.17    0.22   -0.23    0.12   -0.70   -0.40   -0.06   -0.41    0.28   -0.26   -0.04    0.05
 1938    -0.37    0.01   -0.27   -0.34   -0.37   -1.20   -1.56   -1.04   -0.59   -0.71   -0.86   -1.06
 1939    -0.69   -0.91   -0.95   -0.32   -0.16    0.26    0.14    0.18    0.08   -0.23    0.38    0.01
 1940     1.18    1.28    1.09    0.80    0.22    0.42   -0.04    0.68    0.12    0.19    0.30    1.11
 1941     1.24    1.29    1.38    1.28    1.20    0.70    0.47    0.69    0.65    0.91    1.14    1.31
 1942     0.51    0.20    0.02    0.05   -0.29   -0.80   -1.01   -1.27   -1.29   -1.50   -1.66   -1.19
 1943    -0.89   -1.03   -1.08   -0.46   -0.18    0.03    0.01    0.03   -0.37   -0.22   -0.45   -0.48
 1944    -0.53    0.12   -0.23    0.15   -0.02    0.09    0.11   -0.01   -0.16   -0.35   -0.63   -0.58
 1945    -0.48   -0.32   -0.85   -0.60   -0.07   -0.27   -0.38   -0.55   -0.47   -0.61   -0.25   -0.54
 1946    -0.70   -0.65   -0.61   -0.53   -0.62   -0.44   -0.31   -0.96   -0.29   -0.34   -0.38   -0.19
 1947     0.23   -0.16    0.15   -0.13   -0.43   -0.10   -0.39   -0.52   -0.88   -0.70   -0.52    0.13
 1948    -0.12    0.32    0.50    0.04   -0.01   -0.28   -0.35   -0.03   -0.34   -0.77   -0.32    0.21
 1949    -0.74    0.00   -0.52    0.24   -0.12   -0.84   -0.69   -0.58   -0.92   -1.11   -1.45   -1.34
 1950    -1.34   -1.60   -0.96   -0.98   -1.33   -1.01   -1.04   -0.51   -1.11   -0.88   -1.45   -0.97
 1951    -0.72   -0.43   -0.63    0.00   -0.12    0.27    1.14    1.26    0.87    1.03    1.03    0.81
 1952     0.43    0.20    0.11    0.14   -0.52   -0.73   -0.76   -0.55   -0.62   -0.27   -0.55   -0.69
 1953     0.07    0.24    0.15    0.79    0.36    0.50    0.22    0.04    0.70    0.01    0.13    0.08
 1954    -0.15   -0.12   -0.32   -1.17   -1.25   -1.33   -1.35   -1.33   -1.35   -1.28   -1.38   -1.18
 1955    -0.76   -0.68   -0.88   -0.99   -1.52   -1.41   -1.26   -0.79   -1.44   -1.70   -2.08   -1.65
 1956    -1.30   -0.92   -0.67   -0.75   -0.67   -0.62   -0.76   -0.67   -0.71   -0.60   -1.05   -0.80
