time,spatial_ref,STI3
1979-03-01,0,-0.6237011731552333
1980-03-01,0,-0.5575980628237657
1981-03-01,0,-0.09791330611423277
1982-03-01,0,-0.33880860288631687
1983-03-01,0,-1.9257852400902002
1984-03-01,0,-0.11504898825712603
1985-03-01,0,-0.07333030913379628
1986-03-01,0,-0.7253944172817687
1987-03-01,0,0.5027265598606203
1988-03-01,0,0.46088583907954705
1989-03-01,0,-0.7771630854965611
1990-03-01,0,0.03371833900620099
1991-03-01,0,-0.13913399488723627
1992-03-01,0,-0.7287293354410281
1993-03-01,0,-0.023265704351178706
1994-03-01,0,-0.05464264974846277
1995-03-01,0,-1.092783109317617
1996-03-01,0,-0.1779634413167593
1997-03-01,0,-0.6237347132045609
1998-03-01,0,-0.6003650730620834
1999-03-01,0,1.0278548954433555
2000-03-01,0,-1.2760187976546704
2001-03-01,0,-0.0006933444338889743
2002-03-01,0,-0.10995141446345873
2003-03-01,0,0.1375124043546652
2004-03-01,0,0.5230562479980853
2005-03-01,0,0.2798470639422138
2006-03-01,0,1.4593910775183498
2007-03-01,0,0.06557631528869418
2008-03-01,0,-0.5097306091825925
2009-03-01,0,1.16218624309939
2010-03-01,0,1.1456498657627574
2011-03-01,0,-0.2616412114047246
2012-03-01,0,-0.5361279852521686
2013-03-01,0,0.4107094609039427
2014-03-01,0,0.1718487426807567
2015-03-01,0,0.4702062627388689
2016-03-01,0,0.7074026069725301
2017-03-01,0,0.7356590563528904
2018-03-01,0,1.1599693524791153
2019-03-01,0,-0.5353777803115204
2020-03-01,0,-0.21014061156344718
2021-03-01,0,1.5498703429070966
2022-03-01,0,0.11501377963055189
2023-03-01,0,1.2672894335288512
