,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CIESM,CNRM-CM6-1,CanESM5,CanESM5-1,E3SM-1-0,E3SM-2-0,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,IPSL-CM5A2-INCA,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,TaiESM1
1950-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-03-31,-2.1269190704921033,-0.7757759319122689,-0.7062594863278749,-0.548258678078852,0.5333093245020382,0.3101948820060775,0.2009624773462688,-0.4623117903199855,0.2023885926938999,0.9270133977593347,0.8169183690418862,-0.40858689390766795,1.8842881057561423,-0.16549454230705699,1.3390052468401474,-0.26820402316110414,1.1688298118297191,1.1868591344264465,-0.10472322624328616,0.03681575198908101,-0.15515537864138643,-0.35961629435593906,-1.2751480338991137,0.13005243387747137,0.13877327441452383,-0.19434232466202556,-0.2568062832950626,0.3211752811378485,0.2390611471454284,0.5520675761796106,0.8249102795133438,-0.6732272840164902
1950-04-30,-1.6905113139633652,-0.4785633456272346,-0.2386254717885286,-0.25074746123893693,0.2641986954734163,0.32235738292423644,-0.07586329709539522,-0.4464242837505253,0.0626208537909594,0.5764027776239228,0.8345065725223331,-0.35539071442595777,1.2131764623754147,-0.21807850953403607,0.9336888365507234,-0.09290334682267028,1.1593872497371578,1.2764259379907945,0.17260119358666554,0.07102890314485062,-0.39163139829488836,-0.5710633321128274,-1.055744140652334,0.3169313085222066,0.17398459284597248,-0.5445551175533766,-0.17526050968847656,0.40846534882550756,0.2750691149706672,0.5618794207468026,0.9029546134164294,-0.5243322383557598
1950-05-31,-1.056528194881532,-0.16235916549521,0.1905256080847252,0.05065539725524239,0.010393772221138693,0.4092096510313854,-0.3489786710562215,-0.3383973635198248,0.07816556157045242,0.2817685902947767,0.7762560081447525,-0.29269968175193856,0.5487117920130126,-0.22024121949734543,0.5871546262404065,0.11975005761146085,0.8975831337958396,1.3970678875349674,0.49818562964092133,0.06369780033432758,-0.5026111233922279,-0.7867906360491813,-0.7789729598456028,0.5335393872661451,0.07282727439617598,-0.8185500906162588,-0.09925897254453124,0.5660192662753459,0.34401846328542923,0.559045042209238,0.9380865158841446,-0.42206321061758
1950-06-30,-0.43724003437710174,0.11020639529418433,0.506290356006279,0.27787348007629553,-0.22835084774575684,0.4270663073065927,-0.5153067193161168,-0.102472903978929,0.24766621309638273,0.02611957549522386,0.6659657160407083,-0.14523981408351802,0.02976460618585098,-0.12832097177938098,0.1329246186215839,0.4907769754131023,0.6872319300186428,1.4072652192241135,0.8902666857776501,-0.039165318865627755,-0.44445866052641075,-0.857262870236249,-0.6615218761459731,0.7255348674384159,0.009930618295763284,-1.0685300037857477,0.20493700482392688,0.7594702492986296,0.4464413539049065,0.5057377740058548,1.0604597065198822,-0.43233628666097146
1950-07-31,0.17526612961306667,0.3769342051339978,0.717173617409421,0.37746055280801194,-0.43221364494604475,0.5247818695566798,-0.4975871832212946,0.11436352840106304,0.49398725777101177,-0.17633121260759735,0.6127340900317357,-0.1362665768575249,-0.2807072519235364,0.005277858632237759,-0.3162565359221983,0.7627470255027621,0.3413778912601016,1.3079785303534794,1.2181491788366037,-0.18291969622319978,-0.4789669241835077,-0.7569765789727025,-0.40174358886153866,0.9060196539430067,-0.004704027005727881,-1.1470854757700888,0.4953221470040377,0.9313408725481068,0.5805051193199605,0.37405418657636424,1.1730342649308136,-0.44099244403603255
1950-08-31,0.6182057698385012,0.4937379564959383,0.8647438299695723,0.3188783555923147,-0.5314153387847587,0.7303750696130211,-0.3379683926871165,0.2913082204853772,0.573304432338151,0.01026015118704092,0.5155246072124458,-0.11251104371651338,-0.7869435148568376,0.20730102312049317,-0.4935102128106739,0.8267211689291747,0.22419300898388783,1.1858855991831816,1.5085832950956013,-0.31074504119263424,-0.6199779055478061,-0.43547172863466577,-0.1771162947988302,0.9768450024060024,-0.08298882320911923,-1.1231098270975086,0.4876354379067802,1.1145543296451605,0.6556155099361197,0.3054408238796743,1.21724448808734,-0.4398693779267895
1950-09-30,1.0333572590557798,0.5219490142164819,0.9833946062298126,0.10191504503270145,-0.5255993818754451,0.8618092051515795,-0.43545445561743207,0.37221033600015413,0.7386009446895123,0.10626356221581955,0.47977298002021507,-0.10371025238872991,-1.0073095281408977,0.4519283590200066,-0.6625614943248727,0.8750456745225035,0.1553778985662482,0.9472808496001116,1.7254890071492137,-0.42401798073556785,-0.6327011750749538,-0.15197596684817005,-0.006150386462394937,0.9561566331324551,-0.12425152075417809,-0.9820104395132507,0.49282066241509415,1.2716554760325889,0.6988507241235822,0.2929488592132653,1.2754886873084152,-0.4871747159419395
1950-10-31,1.3537155158182244,0.5295325510293547,0.8750093561557098,-0.1320189187635469,-0.4712144652070607,0.9697308431473156,-0.5041588920213285,0.45999969224874854,0.8131739287252331,0.08537014220329152,0.4388894215775617,-0.10012909302680786,-1.3493781854464042,0.6072847952215816,-0.8991793185864483,0.8618036423020171,0.28500001676970005,0.5557158245930349,1.9547626973578558,-0.42170126103588274,-0.7588171156220174,0.0108146642879594,0.17772245607910178,0.9478921716460269,-0.05948861332535624,-0.7850969824807261,0.6431285379679486,1.3684626878000423,0.6970014901968414,0.3114009531232307,1.3428791565250566,-0.5414102419032352
1950-11-30,1.5379995856956732,0.5584591060064593,0.7172660641037409,-0.4338882780361041,-0.3911618755331425,1.1287965818722694,-0.5063154475678927,0.539733217845839,0.8480243250942037,0.028472525316139877,0.3283005543433889,-0.05526285876877166,-1.469566056274105,0.7165955756743592,-1.0220068248839036,0.8613678196232885,0.4354742451236706,0.21657765163355377,2.220405566325574,-0.3398488895875485,-0.9421272620837317,0.09727740140074671,0.38302325815460725,0.9791416237049181,-0.04697409902906082,-0.5170364747841748,0.5915686961355567,1.423734632845392,0.59432094334734,0.39740648589673183,1.3311815211183606,-0.5073230661694601
1950-12-31,1.7100257545255113,0.5888859085644813,0.5938467416419884,-0.5367614372242236,-0.2750939211156651,1.2968316695822915,-0.5676949780523618,0.6970981314219,0.8167166453768097,0.09404395191368321,0.2355673016573239,-0.019618438364212485,-1.4082987942068776,0.7751580073491701,-1.3299499594818454,0.9744971263445159,0.42154437053701516,0.008250813255369725,2.525043321316156,-0.22797039880284325,-1.1395477960534142,0.05812068833820539,0.4650129304243838,1.0557151671334324,-0.043837027175955015,-0.2715815183378239,0.5570803208656947,1.6059148673203174,0.4129609302723427,0.5338494709753366,1.3061445568766021,-0.37901953897241597
