time,spatial_ref,STI3
1950-03-31,0,-1.149309882380379
1951-03-31,0,-1.2021359829356806
1952-03-31,0,-1.3218519588859428
1953-03-31,0,-0.39901548062683784
1954-03-31,0,0.6201830491393745
1955-03-31,0,-0.2381004533129149
1956-03-31,0,-0.36578623361796514
1957-03-31,0,-0.18390487136752573
1958-03-31,0,-0.8641326344155741
1959-03-31,0,-1.3273109583595408
1960-03-31,0,-1.8739373533908719
1961-03-31,0,-0.21458761106956806
1962-03-31,0,-1.2914695308035802
1963-03-31,0,-1.6628799530830378
1964-03-31,0,-1.2003959179312842
1965-03-31,0,0.007540852401907404
1966-03-31,0,-1.291676994523835
1967-03-31,0,-0.3047600759982881
1968-03-31,0,-0.023867921642177162
1969-03-31,0,-1.2245185775475194
1970-03-31,0,-0.6596615526120816
1971-03-31,0,-0.8083817341249079
1972-03-31,0,-0.5782292426065102
1973-03-31,0,-0.9319368950128528
1974-03-31,0,-1.1356260749598168
1975-03-31,0,-1.1577063293350558
1976-03-31,0,-0.12005196227412913
1977-03-31,0,-0.7463490526832576
1978-03-31,0,-0.6778139900461863
1979-03-31,0,-1.0739052465210235
1980-03-31,0,0.22294464056860958
1981-03-31,0,-1.6267859626604984
1982-03-31,0,-0.7537200231297546
1983-03-31,0,-0.9765432282021701
1984-03-31,0,-1.3691354738814077
1985-03-31,0,-1.3709729691322916
1986-03-31,0,-0.5016119638027262
1987-03-31,0,0.017571148316925325
1988-03-31,0,-0.16585675788299717
1989-03-31,0,-1.3849641572622537
1990-03-31,0,-0.42594322493631237
1991-03-31,0,-0.3094749373647305
1992-03-31,0,-1.239259662490473
1993-03-31,0,0.038824388819920334
1994-03-31,0,-0.31096242842232075
1995-03-31,0,0.6629007461779364
1996-03-31,0,0.9562468855445828
1997-03-31,0,-0.4623466979912547
1998-03-31,0,0.34248129314613446
1999-03-31,0,0.5817708758701475
2000-03-31,0,0.559773683343024
2001-03-31,0,-0.3083968889802246
2002-03-31,0,0.4985029234391851
2003-03-31,0,-0.18183060061385709
2004-03-31,0,0.9699913970566545
2005-03-31,0,0.18932934366893148
2006-03-31,0,0.034463480763921174
2007-03-31,0,-0.4188200607906214
2008-03-31,0,0.20442977929700318
2009-03-31,0,-0.37766044687744454
2010-03-31,0,0.9578593794778625
2011-03-31,0,-0.004241164142291399
2012-03-31,0,1.2622296560621333
2013-03-31,0,1.0337480764712146
2014-03-31,0,0.5520961270607107
2015-03-31,0,-0.10220330397807637
2016-03-31,0,1.0052205309121016
2017-03-31,0,1.8101318462291478
2018-03-31,0,0.9729889780698071
2019-03-31,0,0.2682386862711553
2020-03-31,0,0.8074507402053575
2021-03-31,0,-1.2554130626880151
2022-03-31,0,0.6831955931718353
2023-03-31,0,0.6329079784151583
2024-03-31,0,0.43126486041825635
2025-03-31,0,0.42339258076199654
