time,spatial_ref,SPI3
1950-03-31,0,-0.26448082977271803
1951-03-31,0,0.07144192132536073
1952-03-31,0,0.274449719042178
1953-03-31,0,0.4448763207995783
1954-03-31,0,0.442612500277326
1955-03-31,0,0.5538721783505847
1956-03-31,0,0.26790254988091783
1957-03-31,0,-0.6477735795787826
1958-03-31,0,0.5414215598913935
1959-03-31,0,0.826057780601934
1960-03-31,0,-0.5961595750780075
1961-03-31,0,-0.28023488235631094
1962-03-31,0,-0.0699634676358326
1963-03-31,0,0.4049396237490786
1964-03-31,0,-0.0585810854960048
1965-03-31,0,-0.6145449392809174
1966-03-31,0,0.46838726447873646
1967-03-31,0,0.4249102043706528
1968-03-31,0,0.9454862757427053
1969-03-31,0,-0.5015389065472351
1970-03-31,0,-0.47069328149461814
1971-03-31,0,0.10309851447521459
1972-03-31,0,0.6885689321497187
1973-03-31,0,1.2803245410820596
1974-03-31,0,-0.7805186150778558
1975-03-31,0,0.03218132281763527
1976-03-31,0,0.1589275062567455
1977-03-31,0,0.49655097460171704
1978-03-31,0,0.6475239097588114
1979-03-31,0,0.0539795036593384
1980-03-31,0,-0.5094181585817649
1981-03-31,0,-0.15340366687918078
1982-03-31,0,0.5392848377661068
1983-03-31,0,0.021789909891408502
1984-03-31,0,-0.116538703915823
1985-03-31,0,0.012923930637888959
1986-03-31,0,-0.5455036338191309
1987-03-31,0,0.13883456851980894
1988-03-31,0,-0.21557881600000608
1989-03-31,0,0.13982902055807245
1990-03-31,0,1.313515751248978
1991-03-31,0,0.06313304163550945
1992-03-31,0,-0.946670408108555
1993-03-31,0,-0.7435834245033516
1994-03-31,0,0.07789518632032107
1995-03-31,0,-0.27739166771846857
1996-03-31,0,-0.23345431760696217
1997-03-31,0,0.20727082183787449
1998-03-31,0,0.4113910972641092
1999-03-31,0,-0.09592573916383847
2000-03-31,0,0.5583248656125399
2001-03-31,0,0.6798578621326284
2002-03-31,0,0.1772371776872367
2003-03-31,0,-0.30720804358643816
2004-03-31,0,-0.1157797132242092
2005-03-31,0,-0.5373066152592219
2006-03-31,0,-0.3045968877567518
2007-03-31,0,-0.8648997606043323
2008-03-31,0,-1.1341417433018754
2009-03-31,0,0.12189215339536376
2010-03-31,0,0.6330346209468893
2011-03-31,0,0.35761468496960064
2012-03-31,0,-1.0309082752795649
2013-03-31,0,1.6805779814966757
2014-03-31,0,-0.11188809488315785
2015-03-31,0,-0.35784233613904837
2016-03-31,0,-0.18843768766473007
2017-03-31,0,0.9369605183063173
2018-03-31,0,-0.31622642039677307
2019-03-31,0,0.18698904130558877
2020-03-31,0,0.04029956277408596
2021-03-31,0,0.19355567191566936
2022-03-31,0,0.5795260631375361
2023-03-31,0,0.031949902240421824
2024-03-31,0,0.6640405211328525
2025-03-31,0,-0.5086518975042981
