,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CIESM,CNRM-CM6-1,CanESM5,CanESM5-1,E3SM-1-0,E3SM-2-0,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,IPSL-CM5A2-INCA,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,TaiESM1
1950-03-01,0.2978983528481385,-0.2787913977290854,0.0781953783224839,0.3412740067088373,1.382474626595392,-0.1742474158772781,-0.0243672510331273,-0.277629257167005,-0.6317712449418965,0.0745185945349433,0.0397071014797658,-0.2347773816857436,0.5897379148968569,-0.0463867190260457,0.6994626192153657,-0.264480829772718,,,,0.4150837230269074,0.5048098413419083,0.5873791065265154,-0.0339434075685023,-0.8606922720813317,0.0393691937489488,0.5600750942959111,0.0088584616350265,0.01432155881118,0.6743021405867974,-1.3543609301689674,-0.5425731055877681
1951-03-01,-0.1346006760604989,-0.2322182602587547,0.401252618626004,-0.129397352208944,-0.0831854861030969,-0.6004498305260934,-0.3705623920690062,-0.4863187198960473,-0.2323659832527159,0.1351769848498226,0.274899697469285,0.7554297772430919,-0.7052184542800981,-0.7974322009922432,-0.0254077910578445,0.0714419213253607,0.6346793636092415,-0.2724209412855753,-0.0329578249405824,0.2079653956386346,0.1274637870418538,-0.8186792248611027,0.7581803325696668,0.3286087791709088,-0.720289347765173,-0.2991502414894542,0.1120753555680094,-0.1295296096535583,0.087420352996813,-0.1957200592892811,0.586391824964611
1952-03-01,0.5923665649056609,-0.1251373352449707,-0.2530394066028169,0.6046777956449965,0.6063252790009417,-1.12572828948371,0.3971618113443073,0.0953154116623289,-0.3543069369176815,-0.5377240549074089,0.248458053910507,0.3030210978295377,-0.0083814949516225,0.0660931281489398,-0.618910536911524,0.274449719042178,-0.1903406834400734,-0.2443230545784682,-0.8328261491928081,0.1955321061330975,-0.0466584680887183,-0.0945793961283175,-0.0516621462449454,0.2579809735355584,0.4244719421540092,0.5166556327720693,-0.2910940931661323,0.182559614450811,0.6443129745606972,0.2143716384597866,0.9091438026967787
1953-03-01,0.0553535906714964,0.2799449192106566,0.3576882310575045,-0.8799308127080052,-0.111670041665042,-0.121103822469159,-0.1385991448750038,-0.047544673290866,-0.6604782909216895,0.0570604614939874,0.0905672674003608,-0.5583137030306589,0.8225044278445898,1.0499538189238835,-0.8606129664026836,0.4448763207995783,0.2378019520600135,0.2199219864828877,0.0694457511378514,0.5932164730234079,0.1794671315427227,-0.5303682178762025,0.5026776589062381,0.0403620954362117,-0.8012396834192813,-0.603058950646517,0.0212321391624315,0.0655683084731788,-1.079840471818989,0.0255680811827039,-1.112806340501902
1954-03-01,-1.388013320247133,0.2765558132500609,-0.04096798442082,-0.6995485875356137,-0.5039274179882967,0.0565278445999515,-0.2641306290002075,-0.7166005876605112,-1.1648847573502812,0.1391532544963033,0.7432749332710622,0.8604621540262585,0.679507064290382,-0.3197857744288833,0.1780279484874744,0.442612500277326,-0.4209964111049862,-0.1503326381997348,0.6820463027181922,-0.2268916003224929,0.5044563827962294,-0.2758538723666899,-0.5977618918756019,-0.7348415885008739,-0.796189032269166,-0.4274518253637224,-0.2659972637873105,0.8460371060695165,0.3261853793979797,-0.7434287720014485,0.2717412033059049
1955-03-01,-0.692392263427371,0.2685122276020856,0.366992519503482,-0.5978958723276235,0.6790266145940616,0.1049893240793598,-0.7985232119112856,0.1768963918669491,-0.6847296136638283,0.3153223205276092,-0.6760086145786312,-0.3061310762221461,-0.3172228855887919,-0.6085087690193602,-0.2179593754330098,0.5538721783505847,-0.2737587351003178,0.1705032102377118,-0.5599497227450875,0.1002278530080119,-0.5749300934808199,-0.2882594477350639,0.1656499572555652,-0.4531181472853311,-0.6173400784679371,-0.7834143344290119,0.1099457876189717,0.1029358511628598,-0.1018219097672365,0.3154321800106152,-0.3493619792820752
1956-03-01,-0.1356539248716563,0.2738140003227978,0.4408382153071347,-0.1989587467632126,0.4323244613023523,-0.7146675776524338,0.3951858795120524,-0.1047938186847305,-0.2331282475023365,-0.4873063410983804,-0.0896251118352033,-0.1419485545750948,0.0382807544374142,0.1434218149376727,-0.6796729477028727,0.2679025498809178,0.5429690591829875,0.1072274780908893,-0.4598242716997687,-0.1850892748001892,0.2797575561558323,0.1510937283912815,0.22585005270563,0.5430428565683569,-0.3656621389449215,-0.0298923494587743,0.2739969310945022,1.0300499407717976,-0.1872145506421552,-0.1538842989808186,0.4542420452523819
1957-03-01,0.5518061269839206,0.3149395801905997,0.2342683148785913,-0.052844689186131,0.293617066389992,0.5874916806068491,0.2435910281215906,-0.9387031559719546,-0.6769223452185245,0.4120722286865736,-0.2142175733786858,-1.039084417339187,-0.2488030792006569,-0.0394323994614906,-1.271938314887154,-0.6477735795787826,-1.020355302059813,-0.3944002034828907,-0.0645225559331669,0.5163146883222939,0.4692931195150477,-1.1422748165466858,0.4207449117481123,0.2726828221104618,-0.0579593186479457,0.1809865259340728,-0.9487239069975596,0.0175648358331295,-0.3784155640815549,0.2157926729265381,0.1068591031024337
1958-03-01,0.016304554285819,0.4375222035400659,-0.0626415781559423,-0.0341569570670185,-0.1185798870298671,0.0758714782598994,-0.2209033846390203,-0.4235290743714525,-0.2624115923542531,-0.0754186450977246,0.3193485978573347,0.6508755804067043,0.2896599569133108,-0.0375828398668987,0.1472113825422385,0.5414215598913935,0.472946409578411,-0.6648380649900116,-0.2840859811311619,-0.1403008295261955,-0.0705345769327253,-0.0046771391357064,-0.1838262389170457,-0.769263997508477,-1.1828908807888523,-0.3834406729046298,0.4917916980183828,-0.6497758890582882,0.243622834722767,0.5302336251382148,-0.3596031552324535
1959-03-01,-0.1361128097969135,0.1205398265191361,0.5848526927839257,-0.6172408747053767,-0.2617277214220505,0.3658392194180411,0.4740117188915724,0.1865642114816773,-0.8607488106480469,-0.3648108048151214,-0.3596995038796033,-1.010322091733817,-0.3588914408562452,0.0238980356664085,0.3766699234035007,0.826057780601934,0.0325469740610658,0.3419668919567478,0.3173543819494975,-0.1596328991401598,0.0196437658249743,0.2622254977425711,0.2843555805103429,-0.2165472253768622,0.0929173737924292,0.1094162026897099,-1.0242941015323803,0.5679812452363189,-0.3556270704660897,0.3034140729650427,-0.0903623712631203
