,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CIESM,CNRM-CM6-1,CanESM5,CanESM5-1,E3SM-1-0,E3SM-2-0,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,IPSL-CM5A2-INCA,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,TaiESM1
1950-03-01,-0.0124293808834802,0.0880289752029638,0.1288970383589885,-1.149309882380379,-0.7643456477474396,0.1067741051613984,-1.2968525043215526,-1.229406420403247,-0.0168941277042213,-0.590084552521613,-0.9711093462359252,-0.2884255193163177,0.6120412445133976,-0.0113540896209656,-1.2964682058978678,-0.4384612339030128,,,,-0.5617162585493309,-2.0071066344310213,1.0578168794514742,-0.1314256195705123,0.7978523715156667,-1.6074172493890044,-0.1057043605503463,-0.2857358523261423,-0.7291488387347141,0.1385029854150944,-0.0530760838736896,-0.7536055302911928
1951-03-01,-0.0681517226768358,0.3570748157755635,0.055718737355462,-1.2021359829356806,-0.135031880754782,-0.0912957033610074,-1.5473808481436993,-0.1546466805839823,-0.8247172452853216,-0.9976344742220218,0.3511258991220587,-0.93712013898336,0.839042751899018,-0.0997544304941682,0.8663521846709582,-0.3785918991810822,-1.498598189319531,0.3695825481523522,0.3462688142267132,-1.3206686434839814,-0.3545028396656578,0.0047483689244191,0.1137158685777979,-0.9401194675359724,-0.2452667888658417,-1.2466952089742718,0.26380702422724,-0.1950880135391623,-0.4259446846710386,-1.0335629423423751,-0.5322872141858146
1952-03-01,-1.3014469350990754,-1.5053586198083715,-0.1323261364324601,-1.3218519588859428,-1.032286667314551,0.9041922385872452,-0.5063572742539698,-0.5818450139679749,-1.3169311882488195,0.5002104166765319,-0.2401022266203981,-1.1123219191833391,-0.1488671967371009,-0.0424980134122245,0.1868583804785275,-0.229273802742906,-1.2625266877085086,0.1022184225565416,0.3620291413067019,-0.3279222856925258,-1.6671238308888336,-0.4309775038306355,-0.2082865416626437,-0.9946132907421924,-0.9218628988664956,-1.113391741455228,-0.2762393948957016,-0.6073017510736594,-1.41855329756416,-0.5882302873758398,-0.4633717472166313
1953-03-01,-1.5585382017455065,-1.8200153943072537,-0.1729612865320161,-0.3990154806268378,-0.2569781328561271,-1.4582653030357875,-0.5772426309209643,-0.587637022753325,-1.3224246421174504,-0.0179858413181461,-0.5841988251004977,-0.306402819106333,-1.0251742189832784,-0.1655558894270757,-0.679520996265339,0.1900971307863963,-1.317653337079303,-0.4039001372737417,0.2875175143851213,-0.5105358056378593,-0.0225771361305241,0.1806313927111315,-0.902912160898625,-0.1964929354327692,-0.4626091516495274,-0.2903276140537037,-0.4838732273871751,0.2266355347630641,-0.7937369530640997,0.6165254696772229,1.5587304326594889
1954-03-01,-0.3796361008942242,-0.1717115982016401,-1.3375278323777888,0.6201830491393745,-0.9525400321234304,-1.790182966911861,-1.2128269055544667,-1.652427239129141,-0.92126371391212,-1.391781439228169,0.4547455989773749,-1.4091680698426972,-1.0745953814151417,-0.283092879510298,-0.7248246156660793,0.4929055701447868,-1.3556635835363784,-0.9157692653006922,0.478789754485225,-0.1608527057003335,-0.7501221419596333,-0.681184765191834,-0.988188024765758,0.4558095934498539,-0.04476407609306,0.7053570226208707,-0.7991994534233829,0.220394997423869,-0.084999867929411,-1.2751746791538088,-0.7970487394314891
1955-03-01,-0.9258782606753754,0.7634897997069818,-0.386749398457205,-0.2381004533129149,-0.9040744320906956,-1.2168209241127064,-1.9520624265678213,-1.136244422345074,-0.8400293285787465,-0.4802573017158513,-0.4531492576032488,0.5895575137847211,0.5504143808237207,0.2118221581209707,-0.755279628062497,-0.7162284455466953,-1.1419353164905088,-0.2988564141986749,1.162721643964792,-1.403578513907387,-0.8751469513687138,0.1013783327739073,-0.9542517784261948,-0.7397610742407134,-1.4902305442620891,-0.1835230538063769,-0.4910155216212448,-0.4217856478522389,0.5971386643751957,-1.622536051616034,-1.1981485523103774
1956-03-01,-0.8597472977005887,0.5171679271341062,-0.5002925863132671,-0.3657862336179651,-2.024398388609194,0.0646178872926792,-0.7861747531271153,-1.180113903170527,-0.9690141346189508,-1.5088571085605853,-0.94823325749591,0.5157175716146397,-0.587819853367395,-0.3423098051388999,0.0666810058241613,0.0184791219653874,-1.0967828764282836,-1.8044019652867531,0.552173261288611,-1.4666237497423669,-1.2268959080555148,-0.0953522797725215,0.0370556666717759,-0.6722824022030975,0.5593729808244371,-1.30627255540824,0.7705705695061632,-0.6718923679448768,-0.7602045176504978,-1.068098766717942,0.5607664086179822
1957-03-01,0.2705951149290404,-0.8284893040481516,-1.065868196668659,-0.1839048713675257,-0.0111484919557188,-0.5606661294429304,0.5544000652036668,-0.8158325720098035,-0.7245295280740846,0.3055149566814147,-0.5898312962679431,0.5510706901100658,-0.6287059933866456,0.2178025425774729,-0.1902063573475315,-0.0411527668263366,-0.5108352892596234,0.1687037745315353,-1.0442363714182137,-0.6974190285504744,-0.0871919993700505,-0.5484487511002447,-1.6732724014772316,-0.0348305622729081,-1.2266062465580236,-0.5326950967959293,-0.576451855207726,-1.004665806484668,-0.2772323782243586,-0.853042950410415,-0.3374087102268308
1958-03-01,-0.3597340509740668,-1.4783861285001942,0.0776848999438147,-0.8641326344155741,-0.4471347493520361,1.546864414459306,-0.4500454155571302,-0.3477092165831311,-1.1778432299051074,-0.5599606590555798,1.0391997680588505,-1.3004020344741618,-0.2121588032725176,-0.5654728058817262,-0.8765927244091576,0.0107167141740993,-1.6181863958025786,-0.3017207195427637,0.4828298364181452,-1.336469942505441,-0.3808950368106836,0.2989127195437235,-1.5670367924017243,-0.3264037976495138,0.7347051521971023,-1.0484661815615546,-1.0914048977079405,-0.4655174415352797,0.1396582641336677,-2.228806810269255,0.2432189741095544
1959-03-01,0.1074908569095602,-0.4170048209814326,-0.4439897289452522,-1.3273109583595408,-0.5268695178320841,-0.3920682735614457,-0.0078661414337051,-0.5874637007419181,0.0690273766412842,-0.0281803518847036,-0.3572152144259244,0.3331610528715777,0.3545591530454653,-0.296847854361591,-0.783881144103948,-1.7013298634878853,-0.8838628740817951,-0.1806350997294238,0.1755491910148877,-0.2772640301115181,-0.4836080670464179,-0.0901691258839961,-1.182393721929668,0.2689469126416561,-1.3001965733833207,-0.9386352620085832,-1.8035766698417028,1.375199978540658,-0.2039487298557016,-1.395303343044903,-1.0286812930636855
