year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CIESM,CNRM-CM6-1,CanESM5,CanESM5-1,E3SM-1-0,E3SM-2-0,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,IPSL-CM5A2-INCA,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,TaiESM1
1979,-0.0377322421391708,-0.5071129546815569,-0.14371173866551998,-0.7365946912004155,-0.5129646070927842,0.15449294307265693,-0.3859787080418606,0.5022120944618972,0.252507280606944,0.4163054543080395,0.3367500621461347,-0.539776949346676,-0.539776949346676,0.8009939563435609,-0.05962792347649896,0.3650531371628689,-0.28854280531667614,0.4857870120567475,0.49923668286983364,-0.07578349416635419,0.6696618036732659,0.6139733567940233,0.05587835713310254,0.2265675267601925,0.02304429688524052,-0.04381453532107771,-0.10046981026919398,1.6289656667397276,-0.29908592443800824,0.5655630084164867,0.18811224759985612,0.9683962643242667
1980,0.11471366732064228,0.44491955396975813,0.14999036544438155,1.1229267700285286,0.8411032477937121,0.011798115277481024,-0.6151519740014386,0.20576208350631467,0.4336621507433607,-0.9293770085814353,-0.13455585653415067,-0.4994758869974842,-0.4994758869974842,0.7513188913185245,0.45549400703664505,-1.127610862446887,-0.7458109782925098,0.016959913332606335,-0.12675050894348708,-0.27765158999051065,0.4383316153345095,0.12885626010652299,0.7261784604730938,0.3808802228858798,-0.14218150026938584,-0.12605170236467886,0.7283811041523998,-0.3135811804496507,0.01472555136323091,0.7530119329546113,0.2571702899111605,-0.7169678969542478
1981,-0.4079590342701595,0.12378788007069118,-0.004144905825262933,0.5989616107622371,0.6918627409067084,-0.7850262770734217,-0.2464819413034007,0.7548508798694343,0.5159505122543542,0.1727106470572854,0.17951158715626575,-0.04100302016440448,-0.04100302016440448,-0.034321235124993195,-0.45138507653078036,-0.12833855927269766,0.36028257701004124,-0.8730843090510031,0.2937789136825024,-0.07934027931878376,-0.2685848925460917,-0.4913145629010416,0.009112606744686275,0.2013726874103087,0.41618993596726933,0.008212852084991666,-0.6233277451261142,0.4579177389334311,0.43324171362470154,0.1019623138742184,0.18233716038808495,-0.6632310801739949
1982,0.3170010440699824,0.29560242910871887,0.39335507511224416,0.12461194766421828,-0.6463244743297951,-0.639853254193941,-0.4368775939474494,0.6375394352391701,0.28206381176282713,-0.20652706855599182,-0.11904861842810079,-0.26672646837421715,-0.26672646837421715,0.1708333708317,-0.07313013159212135,0.39408286581245927,0.21590877589622112,0.9418109868299975,0.19598332459374973,0.36897346105257844,-0.2681004961843172,0.15792247304006066,-0.19599705426758432,0.28225651097905735,-0.49764135942704135,0.7109791827916176,-1.051085068399319,0.580416967452184,0.26590418306116254,1.2295710944056586,0.31072672766753273,0.08333897102139594
1983,0.698303230705672,1.2467769489591114,0.25785244835241844,0.7752657850116896,0.41469108812676947,-0.16627735078113548,0.22399549710426547,-0.15480243667045476,0.5507834458600682,0.7170225855878232,0.4769407042272787,0.37780713036287505,0.37780713036287505,0.26293354694547716,0.24578823795569565,0.12618386596935016,-0.13336972792857377,0.10755876729282556,0.34566863982343976,-0.022668502682346346,-0.19949806987598295,0.3928006544896622,0.017645775161995676,-0.2583181653139905,-0.05592496036735823,0.25269162361030645,-0.6462762463407868,0.8854173453432334,-0.7586856599023651,-0.39425659528424933,-0.511597955816407,0.8855053639313032
1984,0.1537370648321579,-0.4624916470430701,-0.03924348415223696,0.7760410123135606,0.7413639770382594,0.6556118601781232,0.8498228097955046,0.5558735236758278,-0.15846600593623966,0.2496220900708833,-0.32029976194875914,1.0689563340628228,1.0689563340628228,-1.0514743463274663,-0.24854461048267776,0.13785090800993624,-0.35130430825904035,0.005698904272167887,-0.021936177854932626,0.2813261503675528,0.6714024940830147,-0.24282319031729216,0.14243763319317282,0.6549237352500341,0.2013430480198435,1.4708763718548068,0.6445001309253215,-0.1576243883571185,0.4515397507692272,0.15702265236687607,0.1975549085005371,-0.1389424914716597
1985,-0.4689655093933311,-0.6668005861626201,0.09694881629728934,0.18306743477654197,0.07233399160032686,-0.35224861882078556,0.5117692759306977,1.0080942769620294,0.6800727149316153,0.059237294531287066,0.009488585758912496,-0.24433317017975043,-0.24433317017975043,-0.18847388877668875,-1.4216504860231125,0.4053113861302235,-0.7202053564118654,-0.358734361063097,0.6125803436783959,0.18156493277370858,0.5082991762909094,0.1836492729535263,0.37172290555857257,0.035058893031481464,-0.16885233912844258,-0.9409143090739084,0.2874631097145309,0.3094667788989469,-0.023748161709960913,0.14117299405371594,-0.607987908055127,-0.04135162779968703
1986,0.04086906022722629,0.6694844550780845,0.27850232584346296,0.5448378197820362,-0.9264597901680091,-0.9064062027025093,0.43917835931913335,-0.1432420135616754,-0.2387135793699934,0.3002433707560006,0.20086225639480348,-0.1096753259030932,-0.1096753259030932,0.9609930843894202,-0.10992372177887748,0.7487044481131714,0.6985289181345826,0.6386181210571934,0.27546027747254,0.08030539677975157,0.0060264148475129824,0.5380439394158665,0.30490779208710433,-0.6063223948587234,0.2575400875633174,0.7138692930076581,0.8974057530953005,-1.2708582937143256,-0.9981844496261347,0.5314159711281,-0.8305304478299869,-0.1762210707563574
1987,-0.27878526719868746,0.15663844739390345,1.0320110075394386,-0.01790319857959331,-0.2738456953319606,0.268973855607352,0.4106246691818859,0.5848336024300744,0.11521846994362911,-0.32793887366574453,-0.1620674882299892,0.37555269857599144,0.37555269857599144,-0.33796836958097376,1.0040226805745054,-0.15536692853787945,-0.12793611190088197,0.3639854106588136,-0.09660560612118681,0.09541858510369425,0.35363801123752603,0.340259811718781,-0.358507857740155,0.4118051419618639,0.34938225460547,0.6368767863292208,0.47576336231009897,-0.7475082848299616,0.5370677461165331,-0.7620979334808154,-0.4934242278692048,0.21538826680823214
1988,0.029337973821065334,0.3787859369070284,0.28783911181999455,0.2708720069120414,0.9025614785342476,-0.11559977238560463,-0.2613944585215181,1.294217631848565,0.7505893121677754,0.07222528769595853,-0.35360422165167,-0.08017990305807467,-0.08017990305807467,0.8847496619240788,0.37539509429504525,-0.3128957123924743,-0.009428139068456099,0.7574623260183451,0.26198188468724726,-0.7965057824744947,-0.1112047586046965,0.7974955097547661,-0.09811524587897028,-0.30097178078167924,-0.5055529532266294,0.14556576433144722,0.19901117308422026,0.14225646128680153,-0.12536911433981637,-0.28892823734210193,-0.21302256941909706,0.24689953626128078
